id,pole_a,pole_b,gloss,source
1,truth,belonging,Knowing the truth costs membership in the community that defines you,triz-tc01
2,speed,care,The decision must be fast and the decision must be careful,triz-tc02
3,loyalty,survival,Keeping the vow ends the protagonist; betraying it ends the bond,triz-tc03
4,power,innocence,Wielding power requires a corruption innocence cannot survive,triz-tc04
5,memory,identity,Remembering destroys the self; forgetting destroys the past,triz-tc05
6,mercy,justice,Forgiving betrays the harmed; punishing betrays the loved,triz-tc06
7,hope,evidence,Continuing to hope contradicts what the evidence shows,triz-tc07
8,family,vocation,The calling demands abandoning the family; the family demands abandoning the calling,triz-tc08
9,faith,reason,The leap of faith requires unreason; reason refuses the leap,triz-tc09
10,self,service,Self-realization and service to others demand opposite acts,triz-tc10
11,pleasure,meaning,The pleasure that satisfies has no meaning; the meaning has no pleasure,triz-tc11
12,freedom,belonging,Freedom requires leaving; belonging requires staying,triz-tc12
13,automation,human_purpose,The work that gave meaning is now done by machines,curated
14,individuality,collectivity,The self that the group needs is the self that the protagonist refuses,curated
15,mortality,transcendence,Accepting death and reaching beyond death are the same act,curated
16,sovereignty,interdependence,Self-rule requires breaking the ties that made self-rule possible,curated
17,witness,participant,Watching the harm and stopping it are exclusive acts,curated
18,inheritance,self_authorship,The legacy chooses you before you choose yourself,curated
19,authenticity,survival,To be the self the world will not feed; to eat the self that is not yours,curated
20,forgiveness,memory,Forgiving requires forgetting; remembering forbids forgiveness,curated
21,silence,solidarity,Speaking endangers the network; staying silent abandons the harmed,curated
22,assimilation,sovereignty,To be safe the protagonist must disappear; to be free they must remain visible,curated
23,childhood,obligation,The duties pulling the protagonist forward bury the child still inside,curated
24,exile,return,The home that exiled them is the only home; staying away keeps it intact,curated
25,vow,desire,The vow is a vow because it contradicts what the protagonist wants,curated
26,protect,reveal,Protecting the loved one requires lying to them,curated
27,kin_loyalty,civic_duty,Reporting the kinsman saves the city; staying silent saves the family,curated
28,tradition,evolution,The tradition that holds the community together cannot survive the truth,curated
29,inheritance_money,inherited_curse,Refusing the wealth means accepting poverty; taking it means continuing the harm,curated
30,gender_role,personal_calling,The role written for the protagonist's body cannot contain their calling,curated
31,citizenship,migrancy,Becoming a citizen requires erasing the migrant; remaining migrant ends the future,curated
32,language_mother,language_world,Switching to the world's language is a small daily death of the mother's,curated
33,health,care_giver,The care that sustains the loved one drains the caregiver to nothing,curated
34,mercy_to_animals,human_meal,Eating means killing what could have lived; refusing the meal is also a politics,curated
35,truth_telling,protective_lie,The truth wounds without healing; the lie eases without curing,curated
36,parental_love,parental_freedom,Loving the child requires staying; the protagonist's growth requires going,curated
37,obedience,conscience,Obeying betrays the self; refusing destroys the institution,curated
38,public_image,private_grief,The role demands composure; the loss demands collapse,curated
39,career,vocation,The job pays; the calling demands they leave the job,curated
40,celebrity,anonymity,Being seen is the cost of the work; not being seen is the cost of the life,curated
41,ambition,humility,Climbing requires elbows; arriving requires submission,curated
42,art_purity,art_market,The work that no one buys is the work that matters; the work that sells is the work that lies,curated
43,scientific_truth,public_safety,The result that destabilises is also the result that is true,curated
44,biological_kin,chosen_family,Inheriting the family blood and choosing the people who actually love you,curated
