id,name,label,gloss,source
1,monster_in_house,Monster in the House,A confined group is threatened by a monster literal or metaphorical,snyder-2005
2,golden_fleece,Golden Fleece,A road journey toward a prize transforms the traveler,snyder-2005
3,out_of_bottle,Out of the Bottle,A wish is granted with comic or dark consequences,snyder-2005
4,dude_problem,Dude with a Problem,An ordinary person is thrust into a life-or-death situation,snyder-2005
5,rites_of_passage,Rites of Passage,A protagonist crosses a life threshold (puberty divorce death),snyder-2005
6,buddy_love,Buddy Love,Two opposites are bound together and both are transformed,snyder-2005
7,whydunit,Whydunit,A detective exposes a societal evil through investigation,snyder-2005
8,fool_triumphant,Fool Triumphant,An underestimated outsider triumphs over a pompous establishment,snyder-2005
9,institutionalized,Institutionalized,An individual contests an oppressive group or institution,snyder-2005
10,superhero,Superhero,An extraordinary person navigates an ordinary world,snyder-2005
