run_id,produced_at,date_only,operator_rating,operator_notes,world,moral_wager,som_y1_m,crystallization_score,cluster,genius_score,protagonist,antagonist,wound,conflict,compression,divisiveness,mf_id,de_id,sdt_id,axes_triple,comp1_title,comp1_similarity,comp1_ww_gross_m,comp2_title,comp2_similarity,comp2_ww_gross_m,comp3_title,comp3_similarity,comp3_ww_gross_m,top_comp_ww_m,mean_comp_ww_m,max_comp_similarity,som_y1_usd,winners_path
evolve-20260527T161454Z,2026-05-27T16:14:54Z,2026-05-27,,,federal regulatory agency,Precision without accountability leads to harm that the precision itself cannot measure.,369.31,0.7268,civilizational,0.9581,,Devouring Mother,the more successful they become the fewer people in the world can actually reach them,present harm vs future prevention — doing harm now is the only way to prevent greater harm later,what seemed like two separate stories is one story seen from two irreconcilable positions,the systemic vs individual question — is this one person's failure or a structure's?,MF_06,DE_10,SW_07,MF_06 + DE_10 + SW_07,Unbreakable (2000),0.6667,248.12,Divergent,0.5714,288.89,The Legend of Zorro (2005),0.5000,142.40,288.89,226.47,0.6667,369305741.53,runs/evolve-20260527T161454Z/evolve/gen0/winners.json
evolve-20260527T161223Z,2026-05-27T16:12:23Z,2026-05-27,,,intensive care unit,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",369.31,0.7706,institutional,0.8786,,Manipulator Trickster,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,past justice vs future peace — pursuing the truth reopens a wound the community needs to stay closed,one rule explains everything that seemed random — retroactive coherence,different audiences identify with different characters based on their own systemic position,MF_07,DE_07,SW_16,MF_07 + DE_07 + SW_16,Unbreakable (2000),0.6667,248.12,Divergent,0.5714,288.89,The Legend of Zorro (2005),0.5000,142.40,288.89,226.47,0.6667,369305741.53,runs/evolve-20260527T161223Z/evolve/gen0/winners.json
evolve-20260527T150628Z,2026-05-27T15:06:28Z,2026-05-27,,,a society in a single compressed moment of transformation — the last night before everything changes forever,"The act of care, performed without presence, becomes the instrument of harm.",333.80,0.7614,emotional,0.9640,,Abandoned Orphan,born into a world that has already decided who they are — the wound is the gap between the life assigned and the life desired,fairness vs care — the fair outcome destroys the person you care about,the cost was always known — the audience must now decide if they would have done the same,the most sympathetic character causes the most harm — no clean emotional exit,MF_02,DE_05,SW_14,MF_02 + DE_05 + SW_14,The Firm (1993),0.5714,270.25,Unbreakable (2000),0.5714,248.12,Divergent,0.5000,288.89,288.89,269.08,0.5714,333801271.10,runs/evolve-20260527T150628Z/evolve/gen0/winners.json
evolve-20260527T150349Z,2026-05-27T15:03:49Z,2026-05-27,,,a living alien ecosystem with its own evolutionary consciousness,"Devotion to truth, pursued without the ability to limit its consequences, becomes its own form of destruction.",369.31,0.5662,civilizational,0.8630,The Sage,Corrupted Mentor,knows something that if shared would end every relationship they have,loyalty vs truth — both are owed to the same person and cannot coexist,one rule explains everything that seemed random — retroactive coherence,the film forces the audience to answer a question about their own behavior before judging the protagonist,MF_01,DE_02,SW_08,MF_01 + DE_02 + SW_08,Unbreakable (2000),0.6667,248.12,Divergent,0.5714,288.89,The Legend of Zorro (2005),0.5000,142.40,288.89,226.47,0.6667,369305741.53,runs/evolve-20260527T150349Z/evolve/gen0/winners.json
evolve-20260527T150025Z,2026-05-27T15:00:25Z,2026-05-27,,,an enchanted realm where physical laws are expressions of emotional truth,Precision without accountability leads to harm that the precision itself cannot measure.,369.31,0.8312,civilizational,0.9544,The Everyman,,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,the debt that cannot be repaid — someone saved your life; you cannot save theirs back,"the protagonist was the antagonist all along — same person, different time",different audiences identify with different characters based on their own systemic position,MF_10,DE_07,SW_16,MF_10 + DE_07 + SW_16,Unbreakable (2000),0.6667,248.12,Divergent,0.5714,288.89,The Legend of Zorro (2005),0.5000,142.40,288.89,226.47,0.6667,369305741.53,runs/evolve-20260527T150025Z/evolve/gen0/winners.json
evolve-20260527T143932Z,2026-05-27T14:39:32Z,2026-05-27,,,an enchanted realm where physical laws are expressions of emotional truth,Precision without accountability leads to harm that the precision itself cannot measure.,288.30,0.7559,emotional,0.9680,,,to help effectively they must maintain distance; the distance is what prevents them helping,merit vs circumstance — the meritocracy rewards the person with the best starting position,the absence was always the presence — the gap in the record is the most important data point,"good faith is the mechanism — the more sincerely they believed, the worse the outcome",MF_08,DE_09,SW_11,MF_08 + DE_09 + SW_11,The Firm (1993),0.8000,270.25,Fifty Shades of Grey (2015),0.6000,569.65,Sommersby (1993),0.6000,140.08,569.65,326.66,0.8000,288302650.68,runs/evolve-20260527T143932Z/evolve/gen0/winners.json
evolve-20260527T141433Z,2026-05-27T14:14:33Z,2026-05-27,,,climate research station in an endangered ecosystem,Precision without accountability leads to harm that the precision itself cannot measure.,272.29,0.7757,civilizational,0.8925,The Lover,,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,merit vs circumstance — the meritocracy rewards the person with the best starting position,the truth changes nothing — the revelation is complete and the world stays the same,the film takes a position in a cultural debate that has not been settled and both sides can claim it,MF_08,DE_04,SW_16,MF_08 + DE_04 + SW_16,Dhurandhar (2025),0.5714,137.25,Brick Mansions,0.5714,71.42,Passengers (2016),0.5000,303.14,303.14,170.60,0.5714,272285635.36,runs/evolve-20260527T141433Z/evolve/gen0/winners.json
evolve-20260527T140902Z,2026-05-27T14:09:02Z,2026-05-27,,,an ancient world being rediscovered — ruins that still hold living consequences,Precision without accountability leads to harm that the precision itself cannot measure.,369.31,0.6659,identity,0.8537,The Ruler,Hollow Caregiver,carries a power they did not choose and cannot fully control — the wound is that mastery of the gift requires abandoning who they were,liberty vs protection — protecting someone means controlling them,the moment of maximum competence is the moment of maximum failure,the film forces the audience to answer a question about their own behavior before judging the protagonist,MF_03,DE_02,SW_16,MF_03 + DE_02 + SW_16,Unbreakable (2000),0.6667,248.12,Divergent,0.5714,288.89,The Legend of Zorro (2005),0.5000,142.40,288.89,226.47,0.6667,369305741.53,runs/evolve-20260527T140902Z/evolve/gen0/winners.json
evolve-20260527T140004Z,2026-05-27T14:00:04Z,2026-05-27,,,an AI development lab at the moment of an irreversible deployment,Precision without accountability leads to harm that the precision itself cannot measure.,272.29,0.5602,technology,0.8720,,Shadow Hero,did everything right; one variable outside their control destroyed everything they built,liberty vs protection — protecting someone means controlling them,the absence was always the presence — the gap in the record is the most important data point,the film takes a position in a cultural debate that has not been settled and both sides can claim it,MF_03,DE_04,SW_06,MF_03 + DE_04 + SW_06,Dhurandhar (2025),0.5714,137.25,Brick Mansions,0.5714,71.42,Passengers (2016),0.5000,303.14,303.14,170.60,0.5714,272285635.36,runs/evolve-20260527T140004Z/evolve/gen0/winners.json
evolve-20260527T134808Z,2026-05-27T13:48:08Z,2026-05-27,,,archive or document repository holding suppressed records,Precision without accountability leads to harm that the precision itself cannot measure.,369.31,0.0670,civilizational,0.7920,,,built a system to protect others; the system now runs without them and produces harm,liberty vs protection — protecting someone means controlling them,the moment of maximum competence is the moment of maximum failure,"good faith is the mechanism — the more sincerely they believed, the worse the outcome",MF_03,DE_09,SW_03,MF_03 + DE_09 + SW_03,Unbreakable (2000),0.6667,248.12,Divergent,0.5714,288.89,The Legend of Zorro (2005),0.5000,142.40,288.89,226.47,0.6667,369305741.53,runs/evolve-20260527T134808Z/evolve/gen0/winners.json
